subset,n,brier_mean,ece_mean,ece_lo,ece_hi
Ordinary@n=500,500,0.0969560806453228,0.03353152946259826,0.01937562158089131,0.05106152063570918
Ordinary@n=591,591,0.09758429955691099,0.03114684763321946,0.018797885119133405,0.048051084361674185
Ordinary@n=2000,2000,0.09677180584520101,0.01678700058520772,0.009826757936133093,0.024434240038646405
Ordinary@n=2563,2563,0.09717405632138253,0.015236622597208269,0.008567718034257668,0.02440117656591575
Ordinary@n=2754,2754,0.096694401986897,0.014198877733395574,0.0075004517478150035,0.021767345693343848
Ordinary@n=10000,10000,0.09678085286170245,0.008285129749473184,0.004287284208862078,0.012723663420071828
Cross,2563,0.1828683614730835,0.018543634594207718,,
Switch,2754,0.12897929549217224,0.03151992642163108,,
Through ball,591,0.2284911423921585,0.04625715476708163,,
