pass_type,n,actual_rate,predicted_rate,gap_pp,brier_score,ece
Ordinary,173215,0.8118292295701873,0.8135047,-0.1675466322146657,0.0922325924038887,0.002858178463706691
Cross,4057,0.28937638649248215,0.28416157,0.521481880449387,0.1846085637807846,0.016955235959686073
Switch,4689,0.7366176156963106,0.7385444,-0.19267888103727815,0.13202527165412903,0.022138452658294276
Through ball,1204,0.4019933554817276,0.40305203,-0.10586765121383679,0.22597070038318634,0.042766790911307764
Cut-back,145,0.5448275862068965,0.5674818,-2.2654229608075394,0.17943322658538818,0.06979422579551563
