pass_type,n_eval,brier_before,brier_after,ece_before,ece_after
Ordinary,86680,0.09147679060697556,0.09152611345052719,0.0026084986749570394,0.002312112248742899
Cross,2029,0.18126413226127625,0.18130876123905182,0.012392613153671496,0.02111990577984232
Switch,2345,0.12825673818588257,0.12998010218143463,0.020836177677996393,0.02845416094527953
Through ball,602,0.23343823850154877,0.23473885655403137,0.05389826195283586,0.07410882667103084
