player_id,player,preferred_foot,match_score,matched_name
6830.0,Facundo Sebastián Roncaglia,Right,100,Facundo Sebastián Roncaglia
6773.0,Federico Santiago Valverde Dipetta,Right,100,Federico Santiago Valverde Dipetta
24136.0,Federico Vico Villegas,Left,100,Federico Vico Villegas
11167.0,Felipe Augusto de Almeida Monteiro,Right,100,Felipe Augusto de Almeida Monteiro
3804.0,Ferland Mendy,Left,100,Ferland Mendy
16003.0,Fernando Francisco Reges,Right,100,Fernando Francisco Reges
6629.0,Fernando Pacheco Flores,Left,100,Fernando Pacheco Flores
23825.0,Fidel Chaves de la Torre,Left,100,Fidel Chaves de la Torre
3093.0,Florian Grégoire Claude Lejeune,,67,Florian Lejeune
3437.0,Francis Joseph Coquelin,Right,82,Francis Coquelin
6402.0,Francisco Alcácer García,Right,100,Francisco Alcácer García
22390.0,Francisco António Machado Mota de Castro Trincão,Left,97,Francisco António Machado Mota Castro Trincão
30492.0,Francisco Javier Hidalgo Gómez,Right,100,Francisco Javier Hidalgo Gómez
11389.0,Francisco José Beltrán Peinado,Right,100,Francisco José Beltrán Peinado
4926.0,Francisco Román Alarcón Suárez,Right,100,Francisco Román Alarcón Suárez
8118.0,Frenkie de Jong,Right,100,Frenkie de Jong
6746.0,Gabriel Armando de Abreu,Right,100,Gabriel Armando de Abreu
47447.0,Gabri Veiga,,64,Steve Ambri
6589.0,Geoffrey Kondogbia,Left,100,Geoffrey Kondogbia
6766.0,Gerard Moreno Balaguero,Left,98,Gerard Moreno Balagueró
5213.0,Gerard Piqué Bernabéu,Right,100,Gerard Piqué Bernabéu
24134.0,Germán Sánchez Barahona,Right,100,Germán Sánchez Barahona
41202.0,Giorgi Kochorashvili,Right,87,Giorgi Kharaishvili
24169.0,Gonzalo Cacicedo Verdú,Right,100,Gonzalo Cacicedo Verdú
11669.0,Gonzalo Julián Melero Manzanares,Right,100,Gonzalo Julián Melero Manzanares
4367.0,Gonçalo Manuel Ganchinho Guedes,Right,100,Gonçalo Manuel Ganchinho Guedes
3246.0,Guido Marcelo Carrillo,Right,100,Guido Marcelo Carrillo
26404.0,Guido Rodríguez,Right,100,Guido Rodríguez
35641.0,Hugo Guillamón Sanmartín,Right,95,Hugo Guillamón Sammartín
6805.0,Hugo Mallo Novegil,Right,100,Hugo Mallo Novegil
17304.0,Héctor Junior Firpo Adames,Left,98,Héctor Junior Firpo Adamés
5217.0,Iago Aspas Juncal,Left,100,Iago Aspas Juncal
23307.0,Idrissa Doumbia,Right,100,Idrissa Doumbia
3498.0,Ignacio Monreal Eraso,Left,100,Ignacio Monreal Eraso
6591.0,Ignacio Vidal Miralles,Right,100,Ignacio Vidal Miralles
6676.0,Igor Zubeldia Elorza,Right,97,Igor Zubeldía Elorza
6842.0,Iker Muniain Goñi,Right,100,Iker Muniain Goñi
24322.0,Isaac Carcelén Valencia,Right,100,Isaac Carcelén Valencia
5470.0,Ivan Rakitić,Right,100,Ivan Rakitić
6908.0,Iván Alejo Peralta,Right,100,Iván Alejo Peralta
40890.0,Iván Villar Martínez,Right,100,Iván Villar Martínez
6393.0,Iñaki Williams Arthuer,Right,100,Iñaki Williams Arthuer
6387.0,Iñigo Córdoba Kerejeta,Left,93,Iñigo Córdoba Querejeta
23945.0,Iñigo Pérez Soto,Left,100,Iñigo Pérez Soto
11550.0,Jaime Mata Arnaiz,Right,100,Jaime Mata Arnaiz
30483.0,Jaime Seoane Valenciano,Right,100,Jaime Seoane Valenciano
23971.0,Jairo Izquierdo González,Left,100,Jairo Izquierdo González
6378.0,Jan Oblak,Right,100,Jan Oblak
8652.0,Jasper Cillessen,Right,100,Jasper Cillessen
6898.0,Jaume Doménech Sánchez,Right,100,Jaume Doménech Sánchez
23322.0,Javier Galán Gil,Left,100,Javier Galán Gil
20063.0,Javier Ontiveros Parra,Right,100,Javier Ontiveros Parra
21225.0,Javier Sánchez de Felipe,Right,100,Javier Sánchez de Felipe
6585.0,Jeison Fabián Murillo Cerón,Right,100,Jeison Fabián Murillo Cerón
30370.0,Jens Jønsson,Right,100,Jens Jønsson
29198.0,Jeremías Ledesma,Right,100,Jeremías Ledesma
7022.0,Jesús Joaquín Fernández Sáez de la Torre,Left,100,Jesús Joaquín Fernández Sáez de la Torre
6821.0,Jesús Navas González,Right,100,Jesús Navas González
6893.0,Jesús Vallejo Lázaro,Right,100,Jesús Vallejo Lázaro
6701.0,Joan Jordán Moreno,Right,100,Joan Jordán Moreno
22020.0,Joaquín Fernández Moreno,Right,100,Joaquín Fernández Moreno
24138.0,Joaquín José Marín Ruiz,Right,100,Joaquín José Marín Ruiz
6923.0,Joaquín Navarro Jiménez,Right,100,Joaquín Navarro Jiménez
6651.0,Joaquín Sánchez Rodríguez,Right,100,Joaquín Sánchez Rodríguez
16309.0,Joel Robles Blázquez,Right,100,Joel Robles Blázquez
5691.0,Johan Andrés Mojica Palacio,Left,100,Johan Andrés Mojica Palacio
24712.0,Jon Ander Garrido Moracia,Right,100,Jon Ander Garrido Moracia
6906.0,Jon Bautista Orgilles,Right,100,Jon Bautista Orgilles
30277.0,Jon Moncayola Tollar,Right,100,Jon Moncayola Tollar
47226.0,Jon Morcillo Conesa,Left,100,Jon Morcillo Conesa
6930.0,Jonathan Calleri,Right,100,Jonathan Calleri
6581.0,Jonathan Rodríguez Menéndez,Left,100,Jonathan Rodríguez Menéndez
5211.0,Jordi Alba Ramos,Left,100,Jordi Alba Ramos
11302.0,Jordi Masip López,Right,100,Jordi Masip López
6672.0,Jorge Andújar Moreno,Right,100,Jorge Andújar Moreno
32673.0,Jorge De Frutos Sebastián,Right,100,Jorge de Frutos Sebastián
11676.0,Jorge Miramón Santagertrudis,Right,100,Jorge Miramón Santagertrudis
6630.0,Jorge Molina Vidal,Right,100,Jorge Molina Vidal
11677.0,Jorge Pulido Mayoral,Right,100,Jorge Pulido Mayoral
5199.0,Jorge Resurrección Merodio,Right,100,Jorge Resurrección Merodio
16555.0,Joseph Aidoo,Right,100,Joseph Aidoo
5563.0,José Andrés Guardado Hernández,Left,100,José Andrés Guardado Hernández
105762.0,José Antonio Miranda Boacho,,71,José Antonio García Rabasco
24251.0,José Antonio Morente Oliva,Right,100,José Antonio Morente Oliva
24126.0,José Antonio Rodríguez Díaz,Right,100,Antonio José Rodríguez Díaz
5202.0,José Ignacio Fernández Iglesias,Right,100,José Ignacio Fernández Iglesias
11298.0,José Ignacio Martínez García,Left,100,José Ignacio Martínez García
9462.0,José Ignacio Peleteiro Ramallo,Left,100,José Ignacio Peleteiro Ramallo
6596.0,José Luis Gayà Peña,Left,97,José Luís Gayà Peña
6668.0,José Luis Morales Nogales,Right,100,José Luis Morales Nogales
3265.0,José Luis Sanmartín Mato,Right,100,José Luis Sanmartín Mato
35000.0,José Manuel Fontán Mondragón,Left,100,José Manuel Fontán Mondragón
6681.0,José Manuel Rodríguez Benito,Left,100,José Manuel Rodríguez Benito
9857.0,José Manuel Sánchez Guillén,Left,100,José Manuel Sánchez Guillén
5259.0,José María Giménez de Vargas,Right,100,José María Giménez de Vargas
23970.0,José María Martín-Bejarano Serrano,Right,100,José María Martín-Bejarano Serrano
4629.0,José Ramiro Funes Mori,Left,100,José Ramiro Funes Mori
24517.0,José Raúl Gutiérrez Parejo,Right,100,José Raúl Gutiérrez Parejo
12041.0,João Félix Sequeira,Right,100,João Félix Sequeira
23627.0,João Pedro Neves Filipe,Right,100,João Pedro Neves Filipe
71519.0,Juan Antonio Iglesias Sánchez,,68,Antonio Sánchez Navarro
11671.0,Juan Camilo Hernández Suárez,Right,100,Juan Camilo Hernández Suárez
24055.0,Juan Carlos Real Ruiz,Right,100,Juan Carlos Real Ruiz
24166.0,Juan Francisco Martínez Modesto,Right,100,Juan Francisco Martínez Modesto
21081.0,Juan Marcos Foyth,Right,100,Juan Marcos Foyth
6695.0,Juan Miguel Jiménez López,Right,100,Juan Miguel Jiménez López
4445.0,Jules Koundé,Right,100,Jules Koundé
19677.0,Karim Benzema,Right,100,Karim Benzema
